PH_ID	IRGSP_best_BLAST_hit	description
PH01000000G2540	Os06t0342000-01	exostosin family domain containing protein, expressed
PH01000000G2620	Os04t0573300-00	OsSub45 - Putative Subtilisin homologue, expressed
PH01000000G2700	Os04t0573000-01	uncharacterized membrane protein, putative, expressed
PH01000000G2740	Os02t0200800-01	uncharacterized membrane protein, putative, expressed
PH01000000G2820	Os03t0667700-01	ranBP1 domain containing protein, expressed
PH01000000G2960	Os09t0556400-01	expressed_protein
PH01000000G2970	Os02t0281000-01	AGC_PKA/PKG_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed
PH01000000G3110	Os04t0571600-01	MATE efflux family protein, putative, expressed
PH01000000G3250	Os04t0571200-01	zinc RING finger protein, putative, expressed
PH01000000G3310	Os04t0570800-02	dehydration response related protein, putative, expressed
PH01000000G3540	Os04t0569400-00	methyltransferase, putative, expressed
PH01000000G3550	Os04t0569300-02	OsRhmbd11 - Putative Rhomboid homologue, expressed
PH01000000G3700	Os04t0568900-01	RING zinc finger protein, putative, expressed
PH01000000G3760	Os04t0568850-00	expressed_protein
PH01000000G3800	Os04t0568700-00	heat stress transcription factor B-1, putative, expressed
PH01000000G3890	Os04t0568400-01	WD-40 repeat family protein, putative, expressed
PH01000000G4160	Os04t0567800-01	dof zinc finger domain containing protein, putative, expressed
PH01000000G4340	Os04t0566900-01	dof zinc finger domain containing protein, putative, expressed
PH01000000G4350	Os04t0501700-01	expressed_protein
PH01000000G4360	Os04t0566800-01	gamma-tubulin complex component 6, putative, expressed
PH01000000G4400	Os02t0672500-01	mitochondrial import inner membrane translocase subunit Tim17, putative, expressed
PH01000000G4410	Os04t0566600-01	MYB family transcription factor, putative, expressed
PH01000000G4500	Os04t0566500-04	PINHEAD, putative, expressed
PH01000000G4530	Os04t0566400-02	ZOS4-11 - C2H2 zinc finger protein, expressed
PH01000000G4660	Os04t0566100-00	SNF2 family N-terminal domain containing protein, expressed
PH01000000G4700	Os04t0566000-01	expressed_protein
PH01000000G4870	Os04t0565500-03	transmembrane amino acid transporter protein, putative, expressed
PH01000000G4910	Os04t0564700-02	expressed_protein
PH01000000G4920	Os04t0564600-01	HMG1/2, putative, expressed
PH01000000G4930	Os04t0564500-01	Ser/Thr-rich protein T10 in DGCR region, putative, expressed
PH01000000G5090	Os07t0193800-01	niemann-Pick C1 protein precursor, putative, expressed
PH01000000G5110	Os04t0563801-00	niemann-Pick C1 protein precursor, putative, expressed
PH01000000G5130	Os04t0563801-00	niemann-Pick C1 protein precursor, putative, expressed
PH01000000G5190	Os02t0807000-01	protein kinase domain containing protein
PH01000000G5200	Os03t0601100-01	OsFBDUF15 - F-box and DUF domain containing protein
PH01000000G5370	Os04t0563100-00	transmembrane protein, putative, expressed
PH01000000G5430	Os04t0563000-01	growth regulator related protein, putative, expressed
PH01000000G5490	Os04t0562800-00	DUF630/DUF632 domains containing protein, putative, expressed
PH01000000G5570	Os04t0562500-00	expressed_protein
PH01000000G5630	Os04t0523350-00	expressed_protein
PH01000000G5690	Os04t0561700-01	coiled-coil domain-containing protein 139, putative, expressed
PH01000000G5700	Os04t0561600-01	coiled-coil domain-containing protein 124, putative, expressed
PH01000000G5710	Os04t0561500-02	OsPOP9 - Putative Prolyl Oligopeptidase homologue, expressed
PH01000000G5760	Os04t0560700-01	expressed_protein
PH01000000G5850	Os04t0560600-01	CAMK_CAMK_like.26 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01000000G5860	Os04t0560500-00	amine oxidase, putative, expressed
PH01000000G5980	Os04t0559800-01	STE_MEKK_ste11_MAP3K.17 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01000000G6020	Os02t0666200-02	aquaporin protein, putative, expressed
PH01000000G6060	not found	aquaporin protein, putative, expressed
PH01000000G6090	Os04t0559200-01	expressed_protein
PH01000000G6400	Os04t0558700-01	expressed_protein
PH01000000G6460	Os04t0558500-01	expressed_protein
PH01000000G6470	Os04t0558400-01	acyl-CoA thioesterase 2, putative, expressed
PH01000000G6760	Os11t0296800-01	expressed_protein
PH01000000G7010	Os04t0565200-01	cis-zeatin O-glucosyltransferase, putative, expressed
PH01000000G7040	Os10t0572900-02	AT hook motif domain containing protein, expressed
PH01000000G7050	Os04t0556300-01	glutathione peroxidase domain containing protein, expressed
PH01000000G7120	Os04t0555800-01	zinc knuckle domain containing protein, expressed
PH01000000G7190	Os04t0555600-01	beige/BEACH domain containing protein, expressed
PH01000000G7210	Os04t0555500-01	WD domain containing protein, putative, expressed
PH01000000G7300	Os04t0555300-01	transporter, major facilitator family, putative, expressed
PH01000000G7320	Os04t0555300-02	transporter, major facilitator family, putative, expressed
PH01000000G7400	Os04t0555000-01	scarecrow, putative, expressed
PH01000000G7460	Os04t0554800-01	LTPL122 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
PH01000001G0110	Os04t0542000-01	DUF584 domain containing protein, putative, expressed
PH01000001G0130	Os05t0190500-02	DUF584 domain containing protein, putative, expressed
PH01000001G0140	Os04t0541900-00	expressed_protein
PH01000001G0190	Os04t0541700-01	homeobox associated leucine zipper, putative, expressed
PH01000001G0200	Os04t0541500-01	diacylglycerol kinase, putative, expressed
PH01000001G0390	Os02t0104500-01	expressed_protein
PH01000001G0500	Os04t0541100-01	expressed_protein
PH01000001G0670	Os04t0540900-01	protein kinase domain containing protein, expressed
PH01000001G0700	Os04t0540600-01	aldehyde dehydrogenase, putative, expressed
PH01000001G0710	Os04t0540600-01	aldehyde dehydrogenase, putative, expressed
PH01000001G0720	Os10t0516200-00	protein kinase domain containing protein, expressed
PH01000001G0800	Os04t0539800-01	src homology-3 domain protein 3, putative, expressed
PH01000001G0820	Os04t0539500-02	expressed_protein
PH01000001G0880	Os04t0221000-01	expressed_protein
PH01000001G0950	Os04t0538800-01	kinesin motor domain containing protein, expressed
PH01000001G1270	Os04t0537900-01	vacuolar-processing enzyme precursor, putative, expressed
PH01000001G1290	Os04t0537900-01	vacuolar-processing enzyme precursor, putative, expressed
PH01000001G1300	Os04t0537800-01	cysteine-rich repeat secretory protein precursor, putative, expressed
PH01000001G1450	Os04t0537100-01	OsSAUR11 - Auxin-responsive SAUR gene family member, expressed
PH01000001G1650	Os04t0536300-01	YABBY domain containing protein, putative, expressed
PH01000001G1780	Os04t0534500-01	DNA binding protein, putative, expressed
PH01000001G1810	Os04t0534400-01	MSP domain containing protein, expressed
PH01000001G1870	Os04t0683600-01	leucine-rich repeat family protein, putative, expressed
PH01000001G1880	Os02t0642700-01	DTA2, putative, expressed
PH01000001G1960	Os04t0533900-01	heavy-metal-associated domain-containing protein, putative, expressed
PH01000001G2010	Os04t0533500-02	cytochrome b561, putative, expressed
PH01000001G2030	Os04t0533300-01	remorin, putative, expressed
PH01000001G2110	Os04t0533000-02	DEAD-box ATP-dependent RNA helicase, putative, expressed
PH01000001G2130	Os04t0532800-01	MYB family transcription factor, putative, expressed
PH01000001G2300	Os04t0531900-01	short-chain dehydrogenase/reductase, putative, expressed
PH01000001G2310	Os04t0532100-01	short-chain dehydrogenase/reductase, putative, expressed
PH01000001G2410	Os04t0531100-01	C2 domain containing protein, putative, expressed
PH01000001G2510	Os04t0530900-02	glycosyl transferase 8 domain containing protein, putative, expressed
PH01000001G2560	Os04t0530700-01	glycosyl hydrolase family 3 protein, putative, expressed
PH01000001G2570	Os04t0530600-01	thioredoxin, putative, expressed
PH01000001G2580	Os04t0530500-02	zinc finger, C3HC4 type domain containing protein, expressed
PH01000001G2590	Os04t0530400-01	syntaxin-18, putative, expressed
PH01000001G2600	Os04t0530300-01	expressed_protein
PH01000001G2610	Os04t0530200-01	expressed_protein
PH01000001G2640	Os02t0639600-01	sphingolipid delta desaturase, putative, expressed
PH01000001G2800	Os04t0678300-01	WD-40 repeat family protein, putative, expressed
PH01000001G2850	Os04t0528800-02	ferredoxin-thioredoxin reductase, variable chain, putative, expressed
PH01000001G2860	Os04t0528600-01	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
PH01000001G2870	Os04t0528300-01	white-brown complex homolog protein 11, putative, expressed
PH01000001G2930	Os02t0146400-01	splicing factor 3B subunit 1, putative, expressed
PH01000001G2940	Os04t0528100-01	expressed_protein
PH01000001G3120	Os04t0527500-01	mitochondrial carrier protein, putative, expressed
PH01000001G3180	Os04t0527400-04	expressed_protein
PH01000001G3190	Os04t0527400-04	expressed_protein
PH01000001G3200	Os01t0147800-01	expressed_protein
PH01000001G3260	Os04t0527000-01	GEM, putative, expressed
PH01000001G3290	Os04t0526800-01	GEM, putative, expressed
PH01000001G3350	Os02t0780600-02	mRNA cap guanine-N7 methyltransferase 2, putative, expressed
PH01000001G3420	Os04t0526000-01	TCP family transcription factor, putative, expressed
PH01000001G3470	Os04t0525900-01	transporter, major facilitator family, putative, expressed
PH01000001G3500	Os04t0525900-01	transporter, major facilitator family, putative, expressed
PH01000001G3600	Os04t0525800-00	isochorismatase family protein, putative, expressed
PH01000001G3620	Os02t0634700-01	OsSCP8 - Putative Serine Carboxypeptidase homologue, expressed
PH01000001G3650	Os04t0525600-02	OsClp7 - Putative Clp protease homologue, expressed
PH01000001G4030	Os05t0135100-00	OsWAK28 - OsWAK receptor-like protein kinase, expressed
PH01000001G4050	Os04t0524400-01	expressed_protein
PH01000001G4440	Os02t0631601-00	MIF4G domain containing protein, putative, expressed
PH01000001G4450	Os02t0631500-00	MIF4G domain containing protein, putative, expressed
PH01000001G4480	Os04t0523100-01	expressed_protein
PH01000001G4490	Os04t0523000-00	oxygen-evolving enhancer protein 3, chloroplast precursor, putative
PH01000001G4520	Os02t0631000-01	expressed_protein
PH01000001G4680	Os04t0520900-01	PPR repeat domain containing protein, putative, expressed
PH01000001G4970	Os02t0628600-01	auxin response factor, putative, expressed
PH01000001G4990	Os06t0506100-01	pentatricopeptide, putative, expressed
PH01000001G5000	Os02t0628200-01	transporter-related, putative, expressed
PH01000001G5130	Os04t0518400-01	phenylalanine ammonia-lyase, putative, expressed
PH01000001G5360	Os02t0625300-00	CAMK_CAMK_like.14 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01000002G0050	Os01t0916600-01	RNA recognition motif containing protein, putative, expressed
PH01000002G0130	Os01t0916800-00	expressed_protein
PH01000002G0150	Os01t0917200-01	expressed_protein
PH01000002G0160	Os05t0586300-00	expressed_protein
PH01000002G0230	Os01t0917500-01	leucine-rich repeat receptor protein kinase EXS precursor, putative, expressed
PH01000002G0240	Os03t0847900-04	P21-Rho-binding domain containing protein, putative, expressed
PH01000002G0310	Os01t0918300-01	ubiquitin family domain containing protein, expressed
PH01000002G0320	Os01t0918300-01	ubiquitin family domain containing protein, expressed
PH01000002G0360	Os02t0770100-01	HYS1, putative, expressed
PH01000002G0430	Os09t0309100-02	HYS1, putative, expressed
PH01000002G0490	Os08t0301500-01	sucrose-phosphate synthase, putative, expressed
PH01000002G0640	Os01t0919500-02	zinc finger, C3HC4 type domain containing protein, expressed
PH01000002G0720	Os01t0919600-01	lysine ketoglutarate reductase trans-splicing related 1, putative, expressed
PH01000002G0760	Os01t0919900-01	acyl-desaturase, chloroplast precursor, putative, expressed
PH01000002G0790	Os01t0920000-01	CBS domain-containing protein, putative, expressed
PH01000002G0950	Os01t0920400-01	dynamin family protein, putative, expressed
PH01000002G1150	Os01t0921200-01	mannosyl-oligosaccharide glucosidase, putative, expressed
PH01000002G1250	Os04t0382200-01	exo70 exocyst complex subunit domain containing protein, expressed
PH01000002G1270	Os01t0921600-01	mitochondrial import receptor subunit TOM20, putative, expressed
PH01000002G1400	Os01t0921800-00	OsFBO2 - F-box and other domain containing protein, expressed
PH01000002G1550	Os07t0210000-02	ATEXO70F1, putative, expressed
PH01000002G1570	Os01t0922100-01	antifreeze glycoprotein, putative, expressed
PH01000002G1660	Os01t0922600-01	OsSPL2 - SBP-box gene family member, expressed
PH01000002G1670	Os01t0922700-01	expressed_protein
PH01000002G1820	Os10t0479500-01	expressed_protein
PH01000002G1850	Os01t0923000-01	expressed_protein
PH01000002G1960	Os12t0169400-01	CBS domain-containing protein, putative, expressed
PH01000002G2090	Os01t0923700-02	histidine kinase, putative, expressed
PH01000002G2210	Os01t0923900-01	OsFBX32 - F-box domain containing protein, expressed
PH01000002G2300	Os01t0924000-01	ribosomal protein L27, putative, expressed
PH01000002G2380	Os01t0924300-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000002G2470	Os01t0924400-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000002G2500	Os09t0507800-01	ribosomal protein L7Ae, putative, expressed
PH01000002G2510	Os09t0507800-01	ribosomal protein L7Ae, putative, expressed
PH01000002G2620	Os01t0925000-02	protein of unknown function, DUF618 domain containing protein, expressed
PH01000002G2660	Os01t0925300-01	zinc finger DHHC domain-containing protein, putative, expressed
PH01000002G2670	Os01t0925400-01	No apical meristem protein, putative, expressed
PH01000002G2710	Os01t0925600-01	expressed_protein
PH01000002G2720	Os01t0925700-01	protein kinase domain containing protein, expressed
PH01000002G2740	Os01t0925800-01	ubiquitin-conjugating enzyme E2-22 kDa, putative, expressed
PH01000002G2770	Os08t0155550-00	ubiquitin-conjugating enzyme E2-22 kDa, putative, expressed
PH01000002G2790	Os01t0926300-01	transaldolase, putative, expressed
PH01000002G2800	Os01t0926400-03	exostosin family domain containing protein, expressed
PH01000002G2830	Os01t0926600-01	exostosin family domain containing protein, expressed
PH01000002G2840	Os01t0926600-01	exostosin family domain containing protein, expressed
PH01000002G2860	Os01t0926800-01	CRAL/TRIO domain containing protein, expressed
PH01000002G2920	Os01t0926800-01	CRAL/TRIO domain containing protein, expressed
PH01000002G2930	Os01t0927000-01	histone-lysine N-methyltransferase, putative, expressed
PH01000002G2980	Os01t0927300-01	expressed_protein
PH01000002G3050	Os01t0927400-01	heat shock protein DnaJ, putative, expressed
PH01000002G3060	Os01t0927500-02	receptor-like protein kinase 2 precursor, putative, expressed
PH01000002G3110	Os01t0927600-01	auxin response factor, putative, expressed
PH01000002G3170	Os01t0928000-01	inducer of CBF expression 2, putative, expressed
PH01000002G3240	Os01t0928100-01	expressed_protein
PH01000002G3260	Os01t0928300-01	prefoldin subunit family protein, expressed
PH01000002G3290	Os01t0928800-01	serine palmitoyltransferase 2, putative, expressed
PH01000002G3370	Os01t0929000-01	expressed_protein
PH01000002G3460	Os01t0929500-01	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed
PH01000002G3470	Os01t0930200-01	expressed_protein
PH01000002G3590	Os01t0930500-01	expressed_protein
PH01000002G3730	Os01t0813700-01	Os1bglu5 - beta-glucosidase homologue, similar to G. max isohydroxyurate hydrolase, expressed
PH01000002G3860	Os01t0931100-02	heparan-alpha-glucosaminide N-acetyltransferase, putative, expressed
PH01000002G3900	Os01t0931200-01	expressed_protein
PH01000002G3910	Os01t0931300-01	acyltransferase, putative, expressed
PH01000002G3920	Os01t0931400-02	thiamin pyrophosphokinase 1, putative, expressed
PH01000002G3940	Os01t0931600-00	DUF567 domain containing protein, putative, expressed
PH01000002G3950	Os01t0931600-00	DUF567 domain containing protein, putative, expressed
PH01000002G3990	Os01t0932600-01	BTBM1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed
PH01000002G4080	Os01t0933200-00	heavy metal-associated domain containing protein, expressed
PH01000002G4150	Os01t0933500-00	flowering promoting factor-like 1, putative, expressed
PH01000002G4240	Os01t0934000-02	WD40-like domain containing protein, putative, expressed
PH01000002G4250	Os01t0934100-01	SRC2 protein, putative, expressed
PH01000002G4280	Os01t0934200-01	mitochondrial carrier protein, putative, expressed
PH01000002G4340	Os01t0934400-01	lumenal PsbP, putative, expressed
PH01000003G0060	Os08t0126300-02	glyceraldehyde-3-phosphate dehydrogenase, putative, expressed
PH01000003G0100	Os08t0125800-01	lectin-like receptor kinase 1, putative, expressed
PH01000003G0190	Os08t0121900-01	zinc finger family protein, putative, expressed
PH01000003G0200	Os08t0121800-01	ribosome, putative, expressed
PH01000003G0390	Os08t0120500-01	MA3 domain containing protein, expressed
PH01000003G0400	Os08t0120500-03	MA3 domain containing protein, expressed
PH01000003G0410	Os08t0120200-01	ATP binding protein, putative, expressed
PH01000003G0420	Os08t0120000-05	succinate dehydrogenase iron-sulfur subunit 2,mitochondrial precursor, putative, expressed
PH01000003G0430	Os08t0119800-02	photosystem II core complex proteins psbY, chloroplast precursor, putative, expressed
PH01000003G0470	Os08t0119700-00	hypothetical_protein
PH01000003G0570	Os08t0119500-01	methyltransferase domain containing protein, expressed
PH01000003G0620	Os08t0119000-02	proteasome subunit, putative, expressed
PH01000003G0730	Os08t0338500-01	OsSAUR31 - Auxin-responsive SAUR gene family member, expressed
PH01000003G0760	Os08t0118100-00	ACT domain containing protein, putative
PH01000003G0780	Os08t0118000-01	AT hook motif domain containing protein, expressed
PH01000003G0790	Os08t0117900-01	expressed_protein
PH01000003G0810	Os08t0117700-01	expressed_protein
PH01000003G0840	Os08t0117300-01	40S ribosomal protein S13, putative, expressed
PH01000003G0860	Os08t0117100-01	RNA recognition motif containing protein, putative, expressed
PH01000003G0870	Os08t0117000-01	kinesin motor domain containing protein, putative, expressed
PH01000003G0910	Os08t0116900-01	galactosyltransferase family protein, putative, expressed
PH01000003G0960	Os08t0116700-01	expressed_protein
PH01000003G1050	Os08t0116400-01	RNA recognition motif containing protein, putative, expressed
PH01000003G1230	Os08t0115800-01	no apical meristem protein, putative, expressed
PH01000003G1440	Os08t0115200-01	IQ calmodulin-binding motif domain containing protein, expressed
PH01000003G1590	Os08t0114300-01	FAD-binding and arabino-lactone oxidase domains containing protein, putative, expressed
PH01000003G1660	Os08t0114200-01	endoglucanase, putative, expressed
PH01000003G1680	Os08t0114100-01	expressed_protein
PH01000003G1780	Os08t0113800-01	expressed_protein
PH01000003G1880	Os03t0254200-00	expressed_protein
PH01000003G2020	Os01t0132100-00	a_IG002N01.7, putative, expressed
PH01000003G2040	Os08t0113200-01	RNA recognition motif containing protein, putative, expressed
PH01000003G2120	Os08t0113100-01	kinase, pfkB family, putative, expressed
PH01000003G2320	Os08t0112800-01	rickettsia 17 kDa surface antigen family protein, expressed
PH01000003G2490	Os01t0238200-02	expressed_protein
PH01000003G2570	Os01t0238600-01	DNA-binding protein-related, putative, expressed
PH01000003G2600	Os05t0244500-01	cellulase, putative, expressed
PH01000003G2650	Os05t0241000-01	expressed_protein
PH01000003G2710	Os01t0234900-01	expressed_protein
PH01000003G2770	Os05t0238400-01	proline-rich family protein, putative, expressed
PH01000003G3040	Os05t0220500-00	expressed_protein
PH01000003G3120	Os05t0222200-02	white-brown complex homolog protein 12, putative, expressed
PH01000003G3180	Os05t0223000-01	OsCML18 - Calmodulin-related calcium sensor protein, expressed
PH01000003G3390	Os05t0228400-01	ethylene-responsive protein related, putative, expressed
PH01000003G3550	Os05t0230600-01	expressed_protein
PH01000003G3560	Os03t0767800-02	expressed_protein
PH01000003G3570	Os05t0230600-01	expressed_protein
PH01000003G3590	Os05t0230600-02	expressed_protein
PH01000003G3600	Os04t0652500-00	expressed_protein
PH01000003G3650	Os05t0230700-02	OsIAA17 - Auxin-responsive Aux/IAA gene family member, expressed
PH01000003G3670	Os05t0230900-01	glyoxalase family protein, putative, expressed
PH01000003G3690	Os05t0230900-01	glyoxalase family protein, putative, expressed
PH01000003G3730	Os05t0231700-01	aquaporin protein, putative, expressed
PH01000003G3770	Os05t0232500-01	ubiquitin-conjugating enzyme E2 O, putative, expressed
PH01000003G3800	Os05t0232700-01	ubiquitin-conjugating enzyme E2 O, putative, expressed
PH01000003G3870	Os07t0284700-00	hypothetical_protein
PH01000003G3960	Os05t0235800-01	MCM6 - Putative minichromosome maintenance MCM complex subunit 6, expressed
PH01000003G4200	Os05t0214400-00	uncharacterized protein KIAA1310, putative, expressed
PH01000003G4210	Os05t0213900-01	uncharacterized protein KIAA1310, putative, expressed
PH01000003G4220	Os03t0422800-01	S-locus-like receptor protein kinase, putative, expressed
PH01000003G4260	Os05t0213500-01	CAPIP1, putative, expressed
PH01000003G4290	Os01t0978400-01	dihydroflavonol-4-reductase, putative, expressed
PH01000004G0040	Os01t0869900-01	CAMK_CAMK_like.11 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01000004G0140	Os01t0869600-01	expressed_protein
PH01000004G0220	Os06t0286351-01	HEAT, putative, expressed
PH01000004G0240	Os06t0286351-02	HEAT, putative, expressed
PH01000004G0260	Os06t0286351-02	HEAT, putative, expressed
PH01000004G0290	Os01t0869300-01	HEAT, putative, expressed
PH01000004G0400	Os01t0868900-01	OsSub11 - Putative Subtilisin homologue, expressed
PH01000004G0500	Os01t0868300-01	POLA1 - Putative DNA polymerase alpha catalytic subunit, expressed
PH01000004G0570	Os01t0868000-00	AP2 domain containing protein, expressed
PH01000004G0650	Os01t0867800-01	polypyrimidine tract-binding protein, putative, expressed
PH01000004G0740	Os01t0867700-01	Yip1 domain containing protein, expressed
PH01000004G0870	Os01t0867300-01	bZIP transcription factor domain containing protein, expressed
PH01000004G0950	Os01t0866800-01	OsFBT3 - F-box and tubby domain containing protein, expressed
PH01000004G0980	Os01t0866600-01	bolA, putative, expressed
PH01000004G1010	Os01t0866400-01	fructose-1,6-bisphosphatase, putative, expressed
PH01000004G1020	Os01t0866300-02	VAMP-like protein YKT62, putative, expressed
PH01000004G1040	Os11t0155900-00	histone H3, putative, expressed
PH01000004G1210	Os01t0865600-02	helix-loop-helix DNA-binding protein, putative, expressed
PH01000004G1260	Os01t0865100-01	uricase, putative, expressed
PH01000004G1430	Os05t0440800-01	protein kinase domain containing protein, expressed
PH01000004G1570	Os01t0863400-01	expressed_protein
PH01000004G1580	Os05t0442400-01	MYB family transcription factor, putative, expressed
PH01000004G1630	Os01t0862800-01	no apical meristem protein, putative, expressed
PH01000004G1680	Os01t0862300-02	sorting nexin 1, putative, expressed
PH01000004G1720	Os01t0862000-01	hydrolase, alpha/beta fold family, putative, expressed
PH01000004G1750	Os01t0861700-00	hemerythrin family protein, expressed
PH01000004G1840	Os01t0861000-01	expressed_protein
PH01000004G1850	Os01t0860900-01	expressed_protein
PH01000004G1860	Os01t0860800-02	glycosyl hydrolases family 17, putative, expressed
PH01000004G2190	Os05t0443800-01	tubulin/FtsZ domain containing protein, putative, expressed
PH01000004G2200	Os01t0859600-01	OsFBL5 - F-box domain and LRR containing protein, expressed
PH01000004G2210	not found	OsFBL5 - F-box domain and LRR containing protein, expressed
PH01000004G2220	Os01t0859500-01	transcription factor, putative, expressed
PH01000004G2230	Os01t0859400-03	dual specificity protein phosphatase, putative, expressed
PH01000004G2550	Os01t0846900-01	Transcription initiation factor TFIID subunit A containing protein, expressed
PH01000004G2710	Os01t0858000-00	AT hook motif family protein, expressed
PH01000004G2830	Os01t0857700-01	G10 protein, putative, expressed
PH01000004G2870	Os01t0857500-01	nucleobase-ascorbate transporter, putative, expressed
PH01000004G2930	Os01t0857400-01	transmembrane amino acid transporter protein, putative, expressed
PH01000004G3000	Os01t0857300-01	3-deoxy-D-manno-octulosonic-acid transferase, putative, expressed
PH01000004G3020	Os01t0857200-01	dehydrodolichyl diphosphate synthase, putative, expressed
PH01000004G3030	Os01t0857000-01	double-stranded RNA binding motif containing protein, expressed
PH01000004G3040	Os01t0856900-01	starch binding domain containing protein, putative, expressed
PH01000004G3200	not found	prolipoprotein diacylglyceryl transferase, putative, expressed
PH01000004G3220	Os01t0856600-01	nsp1-like C-terminal region family protein, expressed
PH01000004G3230	Os01t0856500-02	transmembrane amino acid transporter protein, putative, expressed
PH01000004G3260	Os01t0856000-02	CDC6 - Putative DNA replication initiation protein, expressed
PH01000004G3370	Os01t0855600-01	hs1, putative, expressed
PH01000004G3560	Os01t0855200-01	expressed_protein
PH01000004G3640	Os01t0855000-03	glycerol-3-phosphate acyltransferase, putative, expressed
PH01000004G3680	Os01t0854800-01	cytochrome P450, putative, expressed
PH01000004G3830	Os01t0854000-01	transferase family protein, putative, expressed
PH01000004G3970	Os03t0816600-01	pentatricopeptide, putative, expressed
PH01000004G4070	Os01t0853700-01	MYB family transcription factor, putative, expressed
PH01000004G4080	Os01t0933600-01	MYB family transcription factor, putative, expressed
