ID	SAM_mean	YIN_mean	MIN_mean	YNO_mean	MNO_mean
PH01000003G3570	4.54	5	9.99	4.64	11.42
PH01000003G3590	3.52	5.29	13.1	4.26	16.44
PH01000003G3600	5.41	1.3	0.92	1.09	1.54
PH01000003G3650	56.53	32.6	18.95	48.71	35.76
PH01000003G3670	7.56	2.95	8.68	7.79	9.69
PH01000003G3690	6.24	4.14	9.5	3.45	5.74
PH01000003G3730	1.35	1.76	2.73	3.87	7.16
PH01000003G3770	4.36	2.93	4.37	5.85	6.08
PH01000003G3800	4.33	2.12	4.09	2.64	0.46
PH01000003G3870	0.7	0.2	0.18	0.67	0.18
PH01000003G3960	46.73	5.53	4.35	23.94	5.67
PH01000003G4200	2.63	2.05	2.65	2.7	0.89
PH01000003G4210	1.24	0.74	4.34	1.13	3.1
PH01000003G4220	0.53	1.06	0.27	0.88	0.52
PH01000003G4260	18.19	16.78	10.5	8.64	23.78
PH01000003G4290	0.6	0.31	1.06	0.54	0.92
PH01000004G0040	35.53	19.37	33.34	62.69	59.34
PH01000004G0140	2.21	1.56	3.24	1.39	4.22
PH01000004G0220	0.94	1.33	1.95	0.76	0.36
PH01000004G0240	4.43	3.15	4.51	1.87	1.05
PH01000004G0260	5.41	3.5	4.25	2.05	0.63
PH01000004G0290	9.46	7.92	13.36	6.83	3.27
PH01000004G0400	0.06	0.05	0.19	0.16	0.25
PH01000004G0500	11.47	5.63	3.04	3.13	0.51
PH01000004G0570	140.38	111.71	34.36	70	27.7
PH01000004G0650	20.07	16.69	6.7	21.41	21.02
PH01000004G0740	5.83	5.33	10.58	10.38	29.19
PH01000004G0870	0.9	1.78	3.02	2.02	3.1
PH01000004G0950	2.38	1.2	5.82	0.89	5.7
PH01000004G0980	21	16.01	9.38	10.44	13.46
PH01000004G1010	0.95	0.7	0.83	0.68	0.72
PH01000004G1020	16.03	5.76	21.02	4.98	33.27
PH01000004G1040	199.75	209.29	135.97	132.18	4.21
PH01000004G1210	1.85	1.64	3.21	0.99	2.66
PH01000004G1260	37.2	82.46	126.19	75.11	82.07
PH01000004G1430	2.78	2.16	0.97	6.32	2.3
PH01000004G1570	2.56	3.14	1.05	0.81	7.3
PH01000004G1580	20.28	11.62	12.48	17.11	7.08
PH01000004G1630	4.12	1.18	9.11	1.09	2.47
PH01000004G1680	4.69	5.75	10.39	11.32	12.96
PH01000004G1720	1.52	2.59	2.4	3.23	1.19
PH01000004G1750	0.7	0.41	0.97	1.04	0.82
PH01000004G1840	1.52	2.14	3.56	2.86	3.89
PH01000004G1850	2.41	0.63	1.92	0.8	1.07
PH01000004G1860	1.16	0.42	1.18	2.85	4.83
PH01000004G2190	4.77	6.23	6.59	6.87	9.97
PH01000004G2200	4.92	2.83	1.68	4.45	1.25
PH01000004G2210	3.43	2.27	6.41	3.65	1.82
PH01000004G2220	4.63	1.28	3.97	0.96	0.78
PH01000004G2230	5.65	3.18	1.35	7.91	4.66
PH01000004G2550	4.35	3.09	3.06	1.59	4.5
PH01000004G2710	9.86	4.24	1.53	3.98	8.68
PH01000004G2830	18.16	12.21	5.41	11.88	2.65
PH01000004G2870	4.08	2.63	2.9	4.38	2.95
PH01000004G2930	0.74	0.4	0.69	0	0
PH01000004G3000	2.31	3.07	9.74	1.72	5.58
PH01000004G3020	0.66	1.47	2.03	2.42	5.88
PH01000004G3030	4.69	2.66	2.87	3.52	2.62
PH01000004G3040	2.8	0.84	3.07	0.45	1.92
PH01000004G3200	2.33	1.98	3.49	1.81	2.6
PH01000004G3220	3.6	2.78	2.73	3.02	3.48
PH01000004G3230	5.12	6.57	8.08	6.34	16.13
PH01000004G3260	1.39	0.29	0.35	0.91	0.12
PH01000004G3370	1.55	2.57	13.76	3.58	5.11
PH01000004G3560	0.26	0.72	1.62	1.61	0.79
PH01000004G3640	1.71	1.83	5.48	1.37	0.9
PH01000004G3680	0.06	0.37	4.87	0.27	0.37
PH01000004G3830	0.31	0.55	0.4	0.57	1
PH01000004G3970	1.44	0.41	0.61	0.64	0.62
PH01000004G4070	4.97	5.37	1.57	2.6	4.5
PH01000004G4080	0.87	0.8	1.23	0.98	0.71
PH01000004G4100	3.49	2.83	2.68	10.2	18.12
PH01000004G4410	1.59	0.26	0.09	0.41	0.09
PH01000004G4460	0.42	0.43	0.54	0.66	0.54
PH01000004G4470	0.62	2.45	1.7	2.43	2.03
PH01000005G0010	8.13	5.05	3.39	12.17	5.58
PH01000005G0050	1.1	2.37	2.76	2.28	3.38
PH01000005G0150	0.25	0.27	0.33	0.22	1.39
PH01000005G0850	4.26	3.49	7.87	7.74	6.2
PH01000005G0960	33.96	9.44	11.96	25.81	21.41
PH01000005G0970	3.77	1.35	4.09	5.13	1.92
PH01000005G1020	6.47	2.16	2.46	6.57	7.06
PH01000005G1030	5.24	5.3	7.16	12.18	17.67
PH01000005G1170	4.79	2.81	1.79	2.66	4.23
PH01000005G1180	39.47	13.94	11.97	10.08	2.51
PH01000005G1190	6.15	3.2	5.04	1.37	0.26
PH01000005G1200	13.95	7.62	7.65	7.78	7.86
PH01000005G1210	19.8	15.45	30.88	16.64	4.88
PH01000005G1220	11.17	6.89	24.43	21.12	29.59
PH01000005G1230	6.82	3.15	8.33	5.13	6.8
PH01000005G1260	0.18	0.12	0.14	0.15	0.72
PH01000005G1300	11.26	1.7	5.86	2.21	4.26
PH01000005G1320	6.81	0.92	5.54	1.1	2.25
PH01000005G1420	0.99	6.14	5.32	4.04	5.81
PH01000005G1450	2.19	2.62	1.1	3.79	3.8
PH01000005G1460	32.34	13.76	14.76	111.57	23.18
PH01000005G1500	9.7	7.38	6.89	3.24	0.72
PH01000005G1530	2.77	2.13	0.43	0.79	0.39
PH01000005G1580	22.16	13.08	4.85	10.16	2.14
PH01000005G1660	14.88	1.52	2.66	6.48	2.21
PH01000005G1770	6.87	2.96	2.4	1.82	3.26
PH01000005G1790	8.11	4.73	3.24	0.7	8.33
PH01000005G1800	4.18	2.34	4.65	1.33	1.57
PH01000005G1820	1.69	3.28	2.68	2.15	2.93
PH01000005G1830	2.05	1.22	3.43	1.57	4.93
PH01000005G1850	1.37	1.38	1.67	0.4	0.46
PH01000005G1950	0.1	0.12	0.3	1.69	0.53
PH01000005G2010	3.24	3.87	3.61	2.28	4.03
PH01000005G2020	5.21	5.66	27.34	4.91	27.67
PH01000005G2030	3.49	5.89	4.25	10.4	12.61
PH01000005G2110	10.29	3.55	6.02	3.15	10.46
PH01000005G2160	1.7	0.93	2.27	2.15	1.32
PH01000005G2200	6.29	0.4	2.45	3	4.1
PH01000005G2210	6.11	7.58	17.21	3.89	8.59
PH01000005G2240	3.61	2.67	2.27	1.36	2.68
PH01000005G2310	2.91	1.17	3.61	2	2.64
PH01000005G2340	13.22	7.06	15.95	12.44	18.72
PH01000005G2360	2.25	2.08	2.9	2.39	4.11
PH01000005G2470	5.24	6.01	3.63	9.78	7.32
PH01000005G2480	2.02	1.92	1.86	3.21	2.5
PH01000005G2540	3.74	1.51	2.86	3	1.52
PH01000005G2550	5.91	3.45	5.63	2.8	5.86
PH01000005G2560	14.41	2.44	6.24	8.83	13.09
PH01000005G2580	1.22	1.94	2.15	0.95	0.7
PH01000005G2590	10.03	4.37	2.09	11.29	9.71
PH01000005G2820	15.89	11.01	2.96	13.63	7.37
PH01000005G2870	3.34	3.41	7.82	1	0.57
PH01000005G2880	0.51	0.18	0.11	0.17	0.08
PH01000005G2890	0.08	0.43	0.9	0.17	0.54
PH01000005G2900	1	0.61	0.19	0	0
PH01000005G2970	3.07	2.11	5.7	5.28	4.87
PH01000005G3030	13.66	15.62	17.5	4.82	11.48
PH01000005G3110	16.21	14.29	12.95	3.49	15.25
PH01000005G3140	11.99	3.68	3.65	4.17	5.58
PH01000005G3210	22.39	16.17	30.69	27.43	5.24
PH01000005G3220	57.72	12.86	23.31	48.68	20.09
PH01000005G3390	66.86	38.63	117.08	63.69	43.98
PH01000005G3400	69.97	52.51	102.32	59.7	58.38
PH01000005G3500	12.94	11.35	14.51	13.46	14.56
PH01000005G3600	1.5	0.61	2.14	0.39	0.31
PH01000005G3610	3.14	3.76	5.32	4.35	3.85
PH01000005G3620	12.18	2.47	7.41	8.06	3.63
PH01000005G3640	1.67	1.1	1.97	1.87	1.56
PH01000005G3710	4.67	4.04	2.97	3.74	5.6
PH01000005G3860	6.84	2.03	3.48	2.26	10.16
PH01000005G4060	6.1	5.7	7.57	11.24	6.63
PH01000005G4070	11.44	15.06	34.52	15.5	29.88
PH01000005G4150	14.63	11.69	28.28	7.52	26.43
PH01000006G0210	57.38	22.95	34.81	50.29	63.67
PH01000006G0350	0.82	0.76	0.94	0.95	0.33
PH01000006G0380	3.45	3.88	5.48	4.98	1.36
PH01000006G0390	37.07	29.58	25.91	14.67	13.57
PH01000006G0400	8.87	8.89	13.38	8.18	21.98
PH01000006G0430	7.83	10.23	8.89	13.47	3.1
PH01000006G0450	3.67	1.52	2.83	5.82	2.66
PH01000006G0460	3.82	3.86	2.14	9.49	4.37
PH01000006G0610	5.14	2.86	3.49	9.05	12.03
PH01000006G0660	0.09	0.21	0.29	0.93	0.25
PH01000006G0760	93.36	67.19	37.09	44.94	124.9
PH01000006G0810	0.88	0.78	1.09	0.95	1.15
PH01000006G0880	0.98	0.57	0.69	6.24	1.53
PH01000006G0910	2.67	1.42	2.16	1.84	3.1
PH01000006G0920	5.93	4.6	9.52	1.02	14.43
PH01000006G0940	1.56	0.55	0.64	0.65	0.45
PH01000006G0960	7.92	4.1	13.28	10.66	15.26
PH01000006G1010	0.75	0.86	0.87	0.63	1.76
PH01000006G1030	125.02	104.84	176.93	36.56	126.6
PH01000006G1150	0.77	0.7	1.46	2.62	8.02
PH01000006G1230	2.05	1.64	2.12	3.26	14.28
PH01000006G1420	10.48	5.68	5.42	7.74	10.07
PH01000006G1440	4.08	1.09	4	6.96	7.19
PH01000006G1450	1.04	2.66	2.06	2.81	3.45
PH01000006G1570	66.05	28.82	34.95	72.37	39.09
PH01000006G1670	2.45	3.06	2.09	11.89	7.05
PH01000006G2010	3.81	3.24	2.36	4.66	4.66
PH01000006G2340	29.14	59	68.09	41.52	153.38
PH01000006G2370	12.17	2.65	8.42	13.49	13.54
PH01000006G2390	20.97	18.42	4.5	21.48	3.63
PH01000006G2400	13.78	11.08	4.11	11.41	2.81
PH01000006G2410	12.37	6.39	7.63	6.32	7.26
